cunning,ruse,92
cupid,Cupidon,58
curse,malédiction,100
custom,Douane,45
dagger,dague,44
damned,damné,45
dance,Danse,72
danger,danger,220
darkness,obscurité,39
daughter,fille,443
deadly,mortel,51
dearest,très cher,56
dearly,chèrement,42
death,décès,900
deeds,actes,119
defend,défendre,66
degree,diplôme,47
delight,délice,56
deliver,livrer,141
demand,demande,110
denied,refusé,55
depart,partir,66
desert,désert,44
deserve,mériter,65
desire,le désir,219
despair,désespoir,54
desperate,désespéré,50
despite,malgré,52
device,dispositif,43
devil,diable,242
devise,concevoir,50
didst,didst,183
dinner,dîner,95
discourse,discours,68
discover,découvrir,43
disgrace,disgrâce,49
dishonour,déshonorer,50
dispatch,envoi,92
displeasure,mécontentement,41
disposition,disposition,51
distributed,distribué,443
divine,Divin,52
doctor,docteur,113
doing,Faire,78
dolabella,Dolabella,39
doors,des portes,62
double,double,128
doubt,doute,174
download,Télécharger,221
dramatis,dramatis,36
drawn,tiré,90
dread,crainte,49
dreadful,horrible,81
dream,rêver,133
dreams,rêves,46
drink,boisson,157
drops,gouttes,53
drown,noyer,88
drums,tambours,41
drunk,ivre,211
duncan,Duncan,40
durst,durst,51
dwell,habiter,41
dying,en train de mourir,48
early,de bonne heure,50
earth,Terre,317
edmund,Edmund,77
effect,effet,72
egypt,Egypte,49
either,Soit,172
elbow,coude,60
elder,aîné,43
embrace,embrasse,68
emilia,Émilie,149
emperor,empereur,112
empty,vide,209
encounter,rencontre,53
endure,supporter,79
enemies,ennemis,111
enemy,ennemi,278
enjoy,prendre plaisir,54
enobarbus,énobarbus,154
enough,assez,314
enter,entrer,2357
entertain,divertir,55
entertainment,divertissement,37
entreat,supplier,111
equal,égal,45
estate,biens,49
eternal,éternel,39
every,chaque,492
everything,tout,70
excellent,excellent,123
except,sauf,39
excuse,excuse,85
execution,exécution,48
exeter,Exeter,98
exeunt,sortir,1035
express,Express,48
faces,visages,57
faint,perdre connaissance,46
fairy,Fée,58
faith,Foi,410
falls,des chutes,81
false,faux,299
familiar,familier,37
fancy,fantaisie,57
farewell,adieu,417
farther,plus loin,43
fashion,mode,244
fatal,fatal,45
father,père,1076
fault,faute,170
favour,favoriser,137
fearful,craintif,90
fears,peurs,77
feast,le banquet,102
feeble,faible,37
fellow,compagnon,362
fenton,Fenton,46
ferdinand,Ferdinand,53
fetch,chercher,124
field,champ,211
fiend,démon,67
fierce,féroce,40
fiery,ardent,50
fight,bats toi,283
figure,figure,65
finds,trouve,42
finger,doigt,71
first,première,1172
flatter,flatter,134
flesh,la chair,138
flies,mouches,58
flight,vol,228
flood,inonder,47
flourish,fleurir,137
flower,fleur,198
flowers,fleurs,46
follow,suivre,336
folly,folie,80
foolish,insensé,97
fools,imbéciles,104
forbear,ancêtre,58
forbid,interdire,74
force,Obliger,107
forces,les forces,44
forest,forêt,71
forget,oublier,95
former,ancien,145
forsooth,en vérité,48
forth,en avant,384
fortune,fortune,485
forward,vers l'avant,90
fought,combattu,66
found,a trouvé,229
fourth,Quatrième,51
frame,Cadre,46
france,France,529
freely,librement,55
french,français,225
fresh,Frais,90
friend,ami,759
frown,froncer les sourcils,52
fruit,fruit,70
further,plus loin,233
gallant,galant,55
garden,jardin,47
gates,portes,164
gaunt,décharné,72
general,général,216
gentle,doux,372
ghost,fantôme,86
given,donné,191
giving,donnant,60
glass,verre,68
glorious,glorieux,41
glory,gloire,88
going,Aller,109
golden,d'or,91
goodness,la bonté,56
gower,gower,53
grace,la grâce,597
grant,subvention,111
grave,la tombe,184
great,génial,921
green,vert,345
greet,saluer,133
grief,douleur,217
grieve,pleurer,40
gross,brut,63
ground,sol,918
grown,grandi,61
guard,garde,146
guess,devine,53
guilty,coupable,71
habit,habitude,40
hands,mains,360
hanging,pendaison,41
hangs,bloque,37
happiness,bonheur,57
happy,heureux,259
haste,hâte,270
hateful,odieux,39
having,ayant,156
hazard,danger,261
heads,têtes,110
health,santé,103
heard,entendu,349
heart,cœur,1061
heaven,paradis,663
heavy,lourd,169
hector,Hector,224
heels,talons,75
hence,Par conséquent,368
henceforth,désormais,40
hereafter,ci-après, par la suite,48
herself,se,23744
highness,altesse,189
holds,tient,212
hollow,creux,49
honest,honnête,289
horse,cheval,248
hostess,hôtesse,112
hours,heures,141
house,maison,570
hubert,Hubert,96
humble,humble,94
humour,humour,124
hundred,cent,308
husband,mari,336
ignorant,ignorant,48
image,image,74
includes,comprend,223
indeed,En effet,438
infinite,infini,44
innocent,innocent,56
instant,instant,84
intend,avoir l'intention,54
intent,intention,106
issue,problème,111
itself,lui-même,240
jealous,jaloux,50
jewel,bijou,60
judge,juge,92
judgment,jugement,104
julia,Julia,153
justice,Justice,240
keeps,garde,222
kindness,la gentillesse,52
kingdom,Royaume,102
kings,rois,119
knave,fripon,174
kneel,s'agenouiller,72
knees,les genoux,51
knife,couteau,55
knight,Chevalier,136
knock,frappe,83
knowing,connaissance,133
knowledge,connaissance,211
known,connu,188
knows,sait,220
labour,la main d'oeuvre,95
ladies,Dames,145
ladyship,Madame,45
lands,terres,56
large,grand,224
laugh,rire,113
launce,lancer,82
lawful,légitime,61
learn,apprendre,121
learned,appris,51
least,moins,102
leave,laisser,657
leisure,loisir,63
leontes,leontes,150
letter,lettre,247
liberty,liberté,73
library,bibliothèque,232
liege,Liege,141
lieutenant,lieutenant,81
light,lumière,270
limbs,membres,47
little,peu,1365
lives,vies,216
living,vivant,212
longer,plus long,112
looks,regards,221
loose,ample,116
lords,seigneurs,467
lordship,seigneurie,124
lorenzo,Lorenzo,81
lovely,charmant,53
lovers,les amoureux,61
loves,aime,224
loving,aimant,118
lucentio,Lucentio,131
machine,machine,224
madness,la démence,68
maiden,jeune fille,50
maids,servantes,44
maintain,maintenir,53
majesty,majesté,270
makes,fait du,356
making,fabrication,83
malice,malice,72
manner,manière,81
march,Mars,193
marcius,Marcius,143
marcus,Marcus,138
margaret,margaret,210
maria,maria,115
mariana,Mariana,48
marriage,mariage,119
marry,marier,366
master,Maître,844
match,rencontre,152
matter,matière,357
meaning,sens,386
means,veux dire,264
meant,signifiait,53
measure,mesure,95
meeting,réunion,53
membership,adhésion,221
memory,Mémoire,58
merchant,marchande,67
mercy,pitié,182
merit,mérite,116
merry,joyeux,170
messenger,Messager,300
midnight,minuit,43
might,pourrait,1127
mighty,puissant,121
milan,Milan,41
minds,esprits,56
minister,ministre,38
miranda,Miranda,65
mirth,gaieté,52
mischief,sottises,42
misery,misère,39
mistake,erreur,40
mistress,maîtresse,453
modest,modeste,38
money,argent,193
monster,monstre,83
month,mois,61
morning,Matin,132
morrow,demain,326
mortal,mortel,149
mother,mère,437
motion,mouvement,81
mouth,bouche,145
mowbray,mowbray,66
murder,meurtre,76
murther,aller plus loin,59
music,la musique,203
myself,moi même,567
naked,nu,1299
names,des noms,49
native,originaire de,43
natural,Naturel,58
nature,la nature,385
needs,Besoins,147
neighbour,voisine,58
neither,ni,6248
never,jamais,1020
niece,nièce,64
night,nuit,859
noble,noble,740
noise,bruit,117
nothing,rien,1239
nought,néant,58
number,nombre,55
nurse,infirmière,209
oaths,serments,69
obedience,obéissance,52
oberon,Oberon,45
object,objet,39
occasion,occasion,90
offence,infraction,96
offend,offenser,60
offer,offre,108
office,Bureau,128
often,souvent,124
oliver,oliver,57
opinion,opinion,97
order,ordre,94
orlando,orlando,164
other,autre,1168
others,autres,420
ourselves,nous-mêmes,115
outward,vers l'extérieur,50
oxford,Oxford,57
padua,Padoue,41
pains,des douleurs,91
painted,peint,53
painter,peintre,45
palace,palais,160
pandarus,Pandarus,188
paper,papier,106
pardon,pardon,326
paris,Paris,139
parolles,parolles,175
parted,séparé,47
particular,particulier,56
partly,partiellement,35
parts,les pièces,111
party,fête,51
passage,passage,44
passion,la passion,108
patience,la patience,190
patient,patient,129
paulina,paulina,86
peace,paix,539
pedro,pedro,155
people,gens,223
perceive,apercevoir,92
percy,Percy,87
perfect,parfait,55
perhaps,peut-être,45
peril,péril,43
permission,autorisation,225
person,la personne,152
personal,personnel,234
phebe,phebe,47
philip,Philippe,73
picture,image,117
piece,pièce,201
pistol,pistolet,187
place,endroit,457
plague,peste,96
plain,plaine,129
plead,plaider,48
please,S'il vous plaît,396
pleasure,plaisir,234
pluck,cueillir,139
poins,poins,103
point,point,246
poison,poison,125
policy,politique,45
polixenes,polixènes,84
pompey,pompey,211
porter,porter,666
possible,possible,98
posthumus,posthume,131
pound,livre,195
power,Puissance,307
practice,entraine toi,41
praise,louange,182
prayers,prières,85
precious,précieux,78
prepare,préparer,65
presence,présence,106
present,présent,246
pretty,jolie,117
pride,fierté,111
priest,prêtre,72
prince,prince,938
prison,prison,259
private,privé,66
prize,prix,47
proceed,procéder,72
proclaim,proclamer,61
profit,profit,64
prohibited,interdit,221
project,projet,251
prologue,prologue,43
promise,promettre,108
proof,preuve,82
proper,correct,100
protector,protecteur,56
protest,manifestation,53
proud,fier,330
prove,prouver,252
provided,à condition de,253
public,Publique,57
purpose,objectif,208
purse,bourse,88
quality,qualité,55
quarrel,querelle,98
queen,reine,979
question,question,177
quick,rapide,111
quiet,silencieux,77
quite,assez,400
quoth,quoth,66
raise,élever,47
ransom,une rançon,59
rascal,coquin,61
rather,plutôt,322
readable,lisible,224
ready,prêt,215
realm,domaine,53
reason,raison,288
receive,recevoir,98
regard,qui concerne,43
reign,règne,48
reignier,règne,97
remain,rester,77
remedy,remède,59
remember,rappelles toi,191
render,rendre,221
repair,réparation,46
repent,se repentir,59
report,rapport,148
reputation,réputation,47
request,demande,177
respect,le respect,101
return,revenir,247
revenge,vengeance,204
reverence,révérence,44
revolt,révolte,42
right,droite,352
rivers,rivières,58
rogue,coquin,142
rotten,pourri,38
rough,rugueux,72
round,rond,127
royal,Royal,214
sacred,sacré,47
safety,sécurité,74
saint,Saint,131
salerio,salerio,48
satisfied,satisfait,48
saying,en disant,56
scarce,rare,152
scene,scène,799
scorn,mépris,155
search,chercher,174
season,saison,47
second,seconde,576
secret,secret,107
seeing,voyant,53
senate,sénat,42
senator,sénateur,91
sense,sens,387
sentence,phrase,72
servant,serviteur,431
serve,servir,187
service,un service,444
seven,Sept,72
several,nombreuses,79
shadow,ombre,215
shake,secouer,102
shall,doit,3608
shame,la honte,307
shape,forme,132
sharp,tranchant,71
shepherd,berger,126
shine,éclat,45
shore,rive,329
short,court,289
shortly,prochainement,46
should,devrait,1580
shows,montre,103
sickness,maladie,57
sight,vue,201
silence,silence,113
silver,argent,262
simple,Facile,117
since,depuis,449
single,Célibataire,59
sirrah,sirrah,148
sister,sœur,204
skill,compétence,52
slain,tué,127
slander,calomnie,53
slave,esclave,132
sleep,sommeil,264
slender,mince,117
small,petit,192
smell,odeur,51
smile,sourire,77
soldier,soldat,273
solemn,solennel,41
somerset,somerset,147
something,quelque chose,183
sometime,parfois,77
sooner,plus tôt,62
soothsayer,devin,96
sorrow,chagrin,193
sorry,Pardon,93
sought,recherché,37
souls,âmes,114
sound,du son,218
sovereign,souverain,154
spare,de rechange,61
speak,parler,1207
speaks,parle,1381
special,spécial,38
speech,discours,196
speed,la vitesse,240
spend,dépenser,68
spirit,esprit,321
spite,dépit,59
spoke,parlait,148
sport,sport,168
spring,printemps,62
staff,Personnel,41
stain,tache,69
stand,supporter,665
stars,étoiles,71
state,Etat,310
steal,voler,84
steel,acier,70
steward,intendant,47
still,encore,1333
stomach,estomac,44
stone,calcul,69
stood,se tenait,93
store,boutique,40
storm,orage,64
story,récit,67
straight,tout droit,153
strange,étrange,316
street,rue,1075
strength,force,293
strike,la grève,154
stroke,accident vasculaire cérébral,40
strong,fort,1079
struck,frappé,76
study,étude,65
stuff,des trucs,64
subject,matière,462
substance,substance,43
success,Succès,48
sudden,soudain,79
suddenly,tout à coup,50
suffer,souffrir,107
suffolk,suffolk,259
summer,été,89
supper,souper,62
surely,sûrement,40
surrey,Surrey,50
suspect,suspect,52
swear,jurer,274
sweat,transpiration,39
sweet,sucré,807
swift,rapide,181
sword,épée,355
swore,juré,51
sworn,juré,184
syracuse,Syracuse,238
table,table,204
tailor,tailleur,51
taken,pris,1079
talbot,talbot,172
tarry,goudronneux,45
taste,goût,80
taught,enseigné,50
teach,enseigner,104
tears,larmes,284
tedious,fastidieux,45
teeth,les dents,56
tells,raconte,42
tempest,tempête,44
tender,soumissionner,149
terms,termes,75
thank,remercier,294
their,leur,2812
themselves,se,24879
there,Là,2210
therefore,par conséquent,627
therein,la bride,56
these,celles-ci,1325
thief,voleur,68
thing,chose,580
think,pense,1207
third,troisième,244
thomas,Thomas,75
those,ceux,547
though,bien que,713
thought,pensée,377
thrive,prospérer,56
throat,gorge,73
throne,trône,67
through,par,5500
throw,jeter,106
thrust,poussée,54
thunder,tonnerre,71
times,fois,294
title,Titre,91
together,ensemble,258
tongue,langue,421
tonight,ce soir,49
touch,toucher,164
toward,vers,859
tower,la tour,81
train,train,292
traitor,traitre,135
tread,bande de roulement,43
treason,trahison,92
treasure,Trésor,53
trial,procès,60
tribunes,tribunes,67
trick,tour,136
triumph,triomphe,48
trouble,difficulté,77
truly,vraiment,174
trumpet,trompette,90
trust,confiance,176
truth,vérité,386
turns,se tourne,55
twice,deux fois,72
tyrant,tyran,120
ulysses,Ulysse,114
uncle,oncle,211
under,sous,354
understand,comprendre,98
undertake,entreprendre,45
undone,défait,55
unhappy,malheureux,39
unknown,inconnue,44
unless,sauf si,153
until,jusqu'à,76
unworthy,indigne,37
utter,prononcer,44
valentine,Valentin,236
valiant,vaillant,157
valour,valeur,101
vantage,avantage,151
vengeance,vengeance,208
venice,venise,86
version,version,229
victory,la victoire,47
villain,scélérat,253
viola,alto,171
violent,violent,47
virtue,vertu,205
visit,visite,66
voice,voix,158
walls,des murs,85
warlike,guerrier,58
warrant,mandat,180
waste,déchets,44
watch,regarder,207
water,eau,1051
wealth,richesse,72
weapons,armes,326
weary,se lasser,78
weeds,mauvaises herbes,44
weeping,larmes,344
weight,poids,44
welcome,Bienvenue,366
wench,jeune fille,112
whence,d'où,75
where,où,1422
wherein,où,1554
whether,qu'il s'agisse,97
which,lequel,2323
while,tandis que,247
whither,où,1642
whole,entier,121
whore,putain,48
whose,dont,618
widow,veuve,123
willing,prêt,255
window,la fenêtre,50
wings,ailes,57
winter,hiver,79
wisdom,sagesse,97
witch,sorcière,94
withal,avec,142
within,dans,494
without,sans pour autant,368
witness,témoin,128
wives,épouses,62
wolsey,Wolsey,101
woman,femme,419
wonder,merveille,121
works,travaux,249
world,monde,907
worse,pire,216
worship,culte,105
worth,vaut,205
would,aurait,2301
wound,blessure,73
wounded,blessés,40
wrath,colère,117
wretch,misérable,59
write,écrire,125
written,écrit,35
wrong,faux,575
wrought,forgé,43
yield,rendement,143
yonder,là-bas,74
young,Jeune,467
yours,le tiens,256
yourself,toi même,280
youth,jeunesse,283
